Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
1,Sal Fasano,2002-06-06,Milwaukee Brewers,COL,30,0.9,6,252,668,89,144,30,95,2,51,.216,.301,.391,.691,,,,,,,,,,,,
2,Jose Canseco,2002-04-24,Chicago White Sox,CHW,37,4.5,17,1887,7057,1186,1877,462,1407,200,906,.266,.353,.515,.867,,,,,,,,,,,,
3,Allen McDill,2002-04-18,Baltimore Orioles,BOS,30,-0.1,4,38,0,0,0,0,0,0,0,,,,,0,0,7.79,1.615,38,0,0,34.2,38,8,18,28
4,Scott Servais,2002-04-16,Colorado Rockies,HOU,35,-0.7,11,820,2493,243,611,63,319,3,183,.245,.306,.375,.681,,,,,,,,,,,,
5,Brian McNichol,2002-04-12,New York Yankees,CIN,28,-0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
6,Pat Borders,2002-04-08,Seattle Mariners,SEA,39,-0.2,13,1006,3052,267,782,67,327,6,149,.256,.291,.381,.672,,,,,,,,,,,,
7,Bill Pulsipher,2002-04-08,New York Yankees,CHW,28,-1.4,5,102,81,7,10,0,4,0,5,.123,.170,.148,.319,13,19,5.13,1.533,101,46,0,323.0,356,44,139,201
8,Brian Rose,2002-04-06,Kansas City Royals,TBD,26,0.7,5,68,27,1,1,0,0,0,1,.037,.071,.037,.108,15,23,5.86,1.551,68,54,0,284.1,331,56,110,151
9,Glen Barker,2002-04-03,Boston Red Sox,HOU,31,0.3,3,235,164,53,38,3,18,30,21,.232,.330,.323,.653,,,,,,,,,,,,
10,Jeff D'Amico,2002-04-03,Philadelphia Phillies,KCR,27,-0.3,1,,,,,,,,,,,,,,,,,,,,,,,,
11,Darren Bragg,2002-04-02,Atlanta Braves,NYY,32,-0.2,8,656,1986,273,512,39,227,48,257,.258,.346,.388,.734,,,,,,,,,,,,
12,Mike Judd,2002-04-02,Florida Marlins,TEX,27,-0.7,5,28,9,1,1,0,0,0,1,.111,.200,.111,.311,4,3,7.20,1.733,28,8,0,75.0,91,14,39,61
